word,syl,freq,len,complexity,label
mediterranean,5,9.77e-06,13,0.3135504201680672,Medium
member,2,0.000151,6,0.2253472222222222,Easy
members,2,0.000224,7,0.19584116541353383,Easy
membership,3,2.95e-05,10,0.2666666666666667,Medium
memorandum,4,2.95e-06,10,0.34375,Medium
merino,3,7.41e-07,6,0.5166666666666667,Hard
mesopotamia,5,8.71e-07,11,0.45535714285714285,Hard
methuselah,4,1.62e-07,10,0.675,Hard
mica,2,9.77e-07,4,0.34099264705882354,Medium
micah,2,1.35e-06,5,0.40689826655299793,Hard
mice,2,1.23e-05,4,0.2820378151260504,Medium
micronesia,4,4.07e-07,10,0.5138888888888888,Hard
midlands,2,4.9e-06,8,0.3833333333333333,Hard
millennium,3,5.01e-06,10,0.4027777777777778,Hard
miller,2,3.16e-05,6,0.375,Hard
minister,3,0.00011,8,0.24740312791783378,Medium
ministerial,4,3.55e-06,11,0.43504901960784315,Hard
ministers,3,2.19e-05,9,0.3244775541795665,Medium
minutes,3,0.000204,7,0.2327380952380952,Easy
misery,3,7.76e-06,6,0.2894736842105263,Medium
moloch,2,2.63e-07,6,0.5416666666666666,Hard
monday,2,6.31e-05,6,0.1689814814814814,Easy
monetary,4,1.26e-05,8,0.2658730158730158,Medium
mordecai,3,5.89e-07,8,0.49645510835913315,Hard
morgan,2,2.63e-05,6,0.2624999999999999,Medium
morris,2,1.41e-05,6,0.4333333333333333,Hard
moscow,2,2.63e-05,6,0.3194444444444444,Medium
moses,2,9.55e-06,5,0.21903361344537814,Easy
motion,2,3.89e-05,6,0.0999999999999999,Easy
mount,1,2.95e-05,5,0.2756578947368421,Medium
mouse,2,2.04e-05,5,0.25,Medium
mrs,1,7.76e-05,3,0.23839697282421732,Easy
ms,1,4.68e-05,2,0.3,Medium
musician,3,1.02e-05,8,0.3214285714285714,Medium
mutations,3,4.47e-06,9,0.36197916666666663,Hard
n,1,0.000141,1,0.6764705882352942,Hard
nar,1,6.03e-07,3,0.8611111111111112,Hard
nco,1,4.37e-07,3,0.6052884615384615,Hard
nl,1,3.31e-06,2,0.5326388888888889,Hard
nation,2,7.59e-05,6,0.1764705882352941,Easy
nations,2,6.31e-05,7,0.2029100529100529,Easy
nazarene,4,3.8e-07,8,0.4754595588235294,Hard
nehemiah,3,4.37e-07,8,0.37162990196078427,Hard
neighbourhood,3,8.71e-06,13,0.25,Medium
nepalese,4,8.71e-07,8,0.3875,Hard
netherlands,3,1.91e-05,11,0.1949346405228758,Easy
new,1,0.00178,3,0.22916666666666663,Easy
news,1,0.000275,4,0.2490196078431372,Medium
nicaragua,4,2.75e-06,9,0.381578947368421,Hard
nigeria,3,2.14e-05,7,0.234375,Easy
nimrod,2,4.27e-07,6,0.4821428571428571,Hard
noah,1,8.51e-06,4,0.2794117647058823,Medium
nob,1,4.47e-07,3,0.56656346749226,Hard
northern,2,7.08e-05,8,0.2857142857142857,Medium
nuclei,2,1.55e-06,6,0.4444444444444444,Hard
nun,1,4.37e-06,3,0.375,Hard
oft,1,1.78e-06,3,0.675,Hard
objective,4,2.29e-05,9,0.33958333333333335,Medium
observation,4,1.35e-05,11,0.3611111111111111,Hard
october,3,0.000129,7,0.169683257918552,Easy
og,1,5.25e-06,2,0.5138888888888888,Hard
oil,1,0.000126,3,0.1875,Easy
ombudsman,3,1.38e-06,9,0.5616317652792111,Hard
omnibus,3,1.41e-06,7,0.5882352941176471,Hard
opening,3,8.71e-05,7,0.25,Medium
operational,5,1.62e-05,11,0.2857142857142857,Medium
ophir,2,2.19e-07,5,0.6291666666666667,Hard
orion,2,2.75e-06,5,0.3552631578947368,Hard
osteogenesis,5,1.1e-07,12,0.7749999999999999,Hard
others,2,0.000263,6,0.2941176470588235,Medium
outcome,3,2.24e-05,7,0.203125,Easy
p,1,0.000135,1,0.5354779411764705,Hard
pl,1,7.59e-06,2,0.5694444444444444,Hard
prop,1,5.89e-06,4,0.4499999999999999,Hard
pst,1,1.95e-06,3,0.6843586601307189,Hard
pt,1,1.1e-05,2,0.5,Hard
pacific,3,3.89e-05,7,0.3214285714285714,Medium
pakistanis,4,1.2e-06,10,0.3421052631578947,Medium
palestine,4,9.77e-06,9,0.3833333333333333,Hard
palestinians,4,5.62e-06,12,0.38683712121212116,Hard
papua,2,2.63e-06,5,0.4107142857142857,Hard
paradise,4,1.45e-05,8,0.1944444444444444,Easy
parkinson,3,1.62e-06,9,0.390625,Hard
parliament,3,5.5e-05,10,0.2873386234737984,Medium
parliamentary,5,1.51e-05,13,0.4305555555555556,Hard
partnership,3,3.02e-05,11,0.28563596491228066,Medium
party,2,0.000309,5,0.22883597883597884,Easy
passover,3,1.51e-06,8,0.3356209150326797,Medium
patel,2,3.09e-06,5,0.43224637681159417,Hard
paul,1,0.000107,4,0.2457594148770619,Medium
peng,1,1.62e-06,4,0.4864113408521303,Hard
pentecost,3,6.92e-07,9,0.625,Hard
people,2,0.00178,6,0.25,Medium
pereira,3,8.51e-07,7,0.5277777777777778,Hard
persia,2,2.29e-06,6,0.425,Hard
persians,2,1.17e-06,8,0.32638888888888884,Medium
persons,2,2.69e-05,7,0.25,Medium
peter,2,7.59e-05,5,0.23635477582846,Easy
petersen,3,1.41e-06,8,0.4666666666666667,Hard
petitions,3,2.69e-06,9,0.3270187186716792,Medium
pharaoh,2,2.09e-06,7,0.29826330532212886,Medium
pharisees,3,7.24e-07,9,0.6041666666666667,Hard
philip,2,1.91e-05,6,0.26974206349206353,Medium
philistines,4,5.13e-07,11,0.5000763574660633,Hard
phoenicia,3,1.78e-07,9,0.5,Hard
phrygia,2,1.05e-07,7,0.6313025210084033,Hard
pierce,2,8.51e-06,6,0.3666666666666667,Hard
pinon,2,7.59e-08,5,0.5,Hard
plaques,2,1.51e-06,7,0.3888888888888888,Hard
pointed,2,2.88e-05,7,0.3863636363636363,Hard
policy,3,0.000148,6,0.2058823529411764,Easy
portas,2,1.12e-07,6,0.3333333333333333,Medium
portugal,3,1.26e-05,8,0.35,Hard
portuguese,4,1.07e-05,10,0.4264705882352941,Hard
prayer,2,2.63e-05,6,0.25,Medium
preparation,4,2.09e-05,11,0.328125,Medium
presidency,4,1.45e-05,10,0.22632438940488475,Easy
president,3,0.000282,9,0.21041634835752482,Easy
presidente,4,2.95e-07,10,0.3676470588235294,Hard
presidents,3,1.2e-05,10,0.2577380952380952,Medium
prime,2,6.46e-05,5,0.3,Medium
prize,2,3.89e-05,5,0.21898148148148144,Easy
procedure,4,2.75e-05,9,0.1339285714285714,Easy
producers,3,2.19e-05,9,0.3289473684210526,Medium
professor,3,7.94e-05,9,0.3157894736842105,Medium
programme,3,3.72e-05,9,0.3026315789473685,Medium
programming,3,2.34e-05,11,0.328125,Medium
progressive,4,2.19e-05,11,0.2678571428571429,Medium
promotion,3,2.57e-05,9,0.2236842105263157,Easy
protection,3,7.08e-05,10,0.2638888888888888,Medium
protests,2,1.58e-05,8,0.2763157894736842,Medium
protocol,3,1.41e-05,8,0.425,Hard
psalm,1,3.63e-06,5,0.375,Hard
public,2,0.000372,6,0.16301332375055283,Easy
purim,2,2.82e-07,5,0.5917755991285403,Hard
qatar,2,6.03e-06,5,0.421875,Hard
question,2,0.000224,8,0.0499999999999999,Easy
qui,1,2.09e-06,3,0.5625,Hard
quinine,3,3.39e-07,7,0.675,Hard
quod,1,2.24e-07,4,0.6785714285714286,Hard
ra,1,7.94e-06,2,0.6257575757575758,Hard
race,2,0.00012,4,0.6111111111111112,Hard
rc,1,4.47e-06,2,0.596875,Hard
ring,1,6.46e-05,4,0.4027777777777778,Hard
rm,1,5.62e-06,2,0.6446428571428571,Hard
rt,1,1.1e-05,2,0.6764705882352942,Hard
rabat,2,3.98e-07,5,0.390625,Hard
radiological,5,7.59e-07,12,0.546875,Hard
rail,1,2.57e-05,4,0.2205882352941176,Easy
raising,2,2.69e-05,7,0.2,Easy
ransom,2,4.79e-06,6,0.375,Hard
rebekah,3,9.55e-07,7,0.32097689075630254,Medium
recital,3,1.91e-06,7,0.4464285714285714,Hard
recovery,4,3.8e-05,8,0.234375,Easy
redeemer,3,1.02e-06,8,0.5921052631578947,Hard
reedy,2,3.63e-07,5,0.4464285714285714,Hard
referendum,4,9.55e-06,10,0.2777777777777778,Medium
refs,1,4.79e-06,4,0.5978260869565217,Hard
region,2,0.0001,6,0.25,Medium
regional,3,5.25e-05,8,0.2205882352941176,Easy
regulation,4,2.4e-05,10,0.46875,Hard
regulations,4,3.16e-05,11,0.3625,Hard
regulators,4,3.89e-06,10,0.3846153846153846,Hard
regulatory,5,1.7e-05,10,0.3382352941176471,Medium
release,3,0.000123,7,0.203125,Easy
renewable,4,8.13e-06,9,0.3214285714285714,Medium
repeal,2,7.41e-06,6,0.4084967320261438,Hard
report,2,0.000209,6,0.3338636624240339,Medium
representative,6,3.72e-05,14,0.175,Easy
republic,3,3.98e-05,8,0.26366421568627446,Medium
request,2,5.75e-05,7,0.2,Easy
research,2,0.000245,8,0.21237789987789982,Easy
results,2,0.00017,7,0.1837719298245614,Easy
resumption,3,1.23e-06,10,0.4250919117647059,Hard
retrofitting,4,2.95e-07,12,0.368421052631579,Hard
reuben,2,1.74e-06,6,0.41366072196422426,Hard
revision,3,6.61e-06,8,0.3472222222222222,Medium
ries,1,2.95e-07,4,0.4166666666666666,Hard
righteous,3,6.31e-06,9,0.2368421052631579,Easy
rights,1,0.000155,6,0.2180351614329942,Easy
river,2,0.000107,5,0.203125,Easy
rod,1,1.38e-05,3,0.45625,Hard
roman,2,3.16e-05,5,0.2916666666666666,Medium
rome,2,2.82e-05,4,0.2058823529411764,Easy
romero,3,2.19e-06,6,0.3888888888888888,Hard
rosette,3,5.5e-07,7,0.4807692307692307,Hard
rule,2,8.71e-05,4,0.2039473684210526,Easy
rules,2,0.000115,5,0.1142857142857142,Easy
rural,2,3.89e-05,5,0.26521650326797386,Medium
russel,2,1.07e-06,6,0.4027777777777778,Hard
russia,2,8.51e-05,6,0.21052287581699342,Easy
ryder,2,3.16e-06,5,0.3076923076923077,Medium
saa,1,8.13e-07,3,0.4852941176470589,Hard
sac,1,4.68e-06,3,0.5434782608695652,Hard
sam,1,4.37e-05,3,0.5578208556149733,Hard
sds,1,1.05e-06,3,0.7027777777777777,Hard
sem,1,1.78e-06,3,0.5833333333333334,Hard
shh,1,1.02e-06,3,0.6829769736842105,Hard
si,1,1.48e-05,2,0.5625,Hard
sk,1,3.24e-06,2,0.4472222222222222,Hard
sm,1,5.13e-06,2,0.5,Hard
sp,1,1.07e-05,2,0.6607142857142857,Hard
syn,1,1.07e-06,3,0.546875,Hard
sabbath,2,3.16e-06,7,0.3512377450980392,Hard
sabbaths,2,9.12e-08,8,0.41142857142857137,Hard
safety,3,9.33e-05,6,0.24305555555555555,Easy
sailing,2,9.77e-06,7,0.2916666666666666,Medium
samaritans,4,5.13e-07,10,0.35,Hard
samson,2,2.45e-06,6,0.4411764705882353,Hard
samuel,2,1.55e-05,6,0.2307692307692307,Easy
sarah,2,3.02e-05,5,0.25558035714285715,Medium
satan,2,8.51e-06,5,0.25549229353577174,Medium
sates,2,1.26e-07,5,0.4411764705882353,Hard
saul,1,4.47e-06,4,0.3621732026143791,Hard
scoreboard,3,1.62e-06,10,0.2647058823529411,Medium
scotland,2,4.79e-05,8,0.1111111111111111,Easy
scripture,3,5.89e-06,9,0.3256578947368421,Medium
sea,1,0.000115,3,0.1428571428571428,Easy
secretariat,4,2.82e-06,11,0.4907120743034055,Hard
secretary,4,8.91e-05,9,0.2375,Easy
section,2,0.0001,7,0.3,Medium
security,4,0.000158,8,0.28208556149732616,Medium
selah,2,2.75e-07,5,0.5081699346405228,Hard
sender,2,1.62e-06,6,0.368421052631579,Hard
september,3,0.000141,9,0.3125,Medium
sequence,3,2.24e-05,8,0.34375,Medium
sequencing,3,2.4e-06,10,0.3928571428571429,Hard
ser,1,3.09e-06,3,0.5694444444444444,Hard
serbia,2,5.13e-06,6,0.2697794117647059,Medium
serra,2,8.13e-07,5,0.55,Hard
services,3,0.000204,8,0.25,Medium
seventh,2,1.78e-05,7,0.20870535714285715,Easy
shadrach,2,9.77e-08,8,0.5511297852474323,Hard
shanks,1,9.33e-07,6,0.65625,Hard
sharon,2,8.32e-06,6,0.41666666666666663,Hard
sheikh,1,3.98e-06,6,0.5,Hard
shem,1,5.5e-07,4,0.3673421717171717,Hard
sidi,2,3.63e-07,4,0.5714285714285714,Hard
signature,4,1.78e-05,9,0.2265625,Easy
silvers,2,6.03e-07,7,0.346875,Medium
simeon,2,1.07e-06,6,0.43176638176638177,Hard
simon,2,3.02e-05,5,0.3105392156862745,Medium
singh,1,1.1e-05,5,0.42951127819548873,Hard
sit,1,7.94e-05,3,0.234375,Easy
situation,3,0.000123,9,0.2115384615384615,Easy
slits,1,7.59e-07,5,0.5113636363636364,Hard
slums,1,1.58e-06,5,0.375,Hard
snail,1,4.68e-06,5,0.2833333333333333,Medium
social,2,0.000263,6,0.2857142857142857,Medium
socialist,3,1.66e-05,9,0.3166666666666666,Medium
socialists,3,3.89e-06,10,0.30136222910216715,Medium
sodom,2,7.24e-07,5,0.3823529411764705,Hard
solomon,3,6.46e-06,7,0.299313725490196,Medium
somalia,3,4.68e-06,7,0.27704613095238095,Medium
son,1,0.000191,3,0.0833333333333333,Easy
south,1,0.000251,5,0.2105263157894736,Easy
southern,2,6.92e-05,8,0.3214285714285714,Medium
spain,1,3.89e-05,5,0.23529411764705882,Easy
spanish,2,5.37e-05,7,0.2205882352941176,Easy
spector,2,6.92e-07,7,0.6388888888888888,Hard
sperm,1,6.92e-06,5,0.25,Medium
spirit,2,6.17e-05,6,0.25055555555555553,Medium
sri,1,1.32e-05,3,0.33088235294117646,Medium
stabilisation,5,4.9e-07,13,0.42705931495405175,Hard
statement,3,9.33e-05,9,0.1842105263157895,Easy
states,2,0.000331,6,0.2464802631578947,Medium
statute,3,6.76e-06,7,0.3423076923076923,Medium
steering,2,8.51e-06,8,0.234375,Easy
storm,1,4.57e-05,5,0.27604166666666663,Medium
strategy,3,5.5e-05,8,0.2496010860484544,Medium
stress,1,5.37e-05,6,0.2,Easy
stretch,1,2.24e-05,7,0.2321428571428571,Easy
studies,2,9.55e-05,7,0.1790021929824561,Easy
sturdy,2,2.75e-06,6,0.35,Hard
subject,2,9.12e-05,7,0.20874183006535946,Easy
success,2,0.000115,7,0.3382352941176471,Medium
sudan,2,7.94e-06,5,0.2894736842105263,Medium
sudanese,4,1.95e-06,8,0.3194444444444444,Medium
summit,2,2e-05,6,0.3125,Medium
supplementary,5,2.29e-06,13,0.3472222222222222,Medium
support,2,0.000339,7,0.2,Easy
suppression,3,4.79e-06,11,0.421875,Hard
supreme,3,4.9e-05,7,0.3194444444444444,Medium
sustainable,4,1.55e-05,11,0.2361111111111111,Easy
sweden,2,2.51e-05,6,0.2058823529411764,Easy
syndrome,3,1.7e-05,8,0.369047619047619,Hard
syria,2,2.51e-05,5,0.3181423611111111,Medium
syrians,2,1.38e-06,7,0.3318055555555556,Medium
tace,2,3.39e-08,4,0.7205882352941176,Hard
tec,1,1.02e-06,3,0.48214285714285715,Hard
tel,1,7.94e-06,3,0.625,Hard
th,1,1.58e-05,2,0.53125,Hard
tn,1,5.13e-06,2,0.6521990740740741,Hard
table,2,0.000112,5,0.2564674908424908,Medium
tabling,2,1.86e-07,7,0.2916666666666666,Medium
tabor,2,6.03e-07,5,0.5073529411764706,Hard
tanzania,3,3.72e-06,8,0.3194444444444444,Medium
tarsus,2,4.27e-07,6,0.5367647058823529,Hard
taxes,2,4.47e-05,5,0.1911764705882352,Easy
technical,3,5.62e-05,9,0.3249999999999999,Medium
tent,1,1.12e-05,4,0.31910256410256405,Medium
texts,1,2.19e-05,5,0.2666666666666667,Medium
tg,1,1.55e-06,2,0.525,Hard
thanks,1,0.000269,6,0.1470588235294117,Easy
thematic,3,2.14e-06,8,0.5238095238095238,Hard
third,1,0.000209,5,0.22058823529411759,Easy
thrombus,2,1.29e-07,8,0.725,Hard
thursday,2,4.17e-05,8,0.17326388888888888,Easy
tibetan,3,3.24e-06,7,0.371875,Hard
tibetans,3,6.46e-07,8,0.3849789915966386,Hard
timor,2,1.86e-06,5,0.44038742690058474,Hard
timothy,3,6.61e-06,7,0.359375,Hard
today,2,0.000355,5,0.1900046547879365,Easy
tomorrow,3,0.000105,8,0.2083333333333333,Easy
tou,1,7.59e-07,3,0.825,Hard
tourism,2,1.91e-05,7,0.2660204991087344,Medium
trade,2,0.000132,5,0.2178362573099415,Easy
transfers,2,1.05e-05,9,0.3666666666666667,Hard
transnational,4,1.51e-06,13,0.40625,Hard
transparency,4,7.94e-06,12,0.26822916666666663,Medium
transplantation,4,1.7e-06,15,0.3125,Medium
transport,2,4.79e-05,9,0.1640625,Easy
treaty,2,2.04e-05,6,0.3314285714285714,Medium
tribunal,3,7.59e-06,8,0.3888888888888888,Hard
tribute,3,1.78e-05,7,0.3152173913043478,Medium
tubal,2,3.63e-07,5,0.471875,Hard
turkey,2,3.63e-05,6,0.2690972222222222,Medium
type,2,0.000186,4,0.19910714285714284,Easy
tyre,2,3.24e-06,4,0.5,Hard
un,1,4.17e-05,2,0.296875,Medium
ussr,1,6.31e-06,4,0.381578947368421,Hard
uganda,3,6.03e-06,6,0.2788957688338493,Medium
ukraine,3,2.09e-05,7,0.30416666666666664,Medium
ukrainians,3,1.2e-06,10,0.3611111111111111,Hard
union,2,0.00012,5,0.2650326797385621,Medium
united,3,0.000295,6,0.21694711538461536,Easy
universal,4,3.09e-05,9,0.2894736842105263,Medium
uriel,2,3.89e-07,5,0.5772058823529411,Hard
use,2,0.000646,3,0.14285714285714285,Easy
vi,1,1.23e-05,2,0.4852941176470589,Hard
vis,1,2.69e-06,3,0.5441760037348273,Hard
va,1,1.82e-05,2,0.7777777777777777,Hard
valentine,4,5.89e-06,9,0.1911764705882352,Easy
validation,4,4.79e-06,10,0.25,Medium
van,1,6.03e-05,3,0.2631578947368421,Medium
vertebrates,4,9.12e-07,11,0.4615384615384615,Hard
victims,2,3.63e-05,7,0.1666666666666666,Easy
voiceless,3,5.75e-07,9,0.3375,Medium
voting,2,4.17e-05,6,0.2368421052631579,Easy
wt,1,2.29e-06,2,0.4758403361344538,Hard
waiver,2,3.39e-06,6,0.3088235294117647,Medium
war,1,0.000288,3,0.1470588235294117,Easy
weber,2,3.98e-06,5,0.3666666666666667,Hard
western,2,0.000102,7,0.22578463203463203,Easy
whenever,3,4.27e-05,8,0.1527777777777778,Easy
white,2,0.000324,5,0.23974358974358978,Easy
williams,2,4.68e-05,8,0.3409090909090909,Medium
woe,1,2.04e-06,3,0.3382352941176471,Medium
wolves,2,1.02e-05,6,0.25,Medium
woman,2,0.000224,5,0.25,Medium
women,2,0.000372,5,0.171875,Easy
world,1,0.000776,5,0.28125,Medium
worship,2,1.95e-05,7,0.175,Easy
x,1,0.000158,1,0.3451923076923077,Medium
xx,1,5.5e-06,2,0.5658333333333333,Hard
yt,1,1.62e-06,2,0.5263157894736842,Hard
yahweh,2,9.33e-07,6,0.41946078431372547,Hard
yemen,2,7.59e-06,5,0.311367814171123,Medium
yesterday,3,8.13e-05,9,0.2205882352941176,Easy
yugoslav,3,1.07e-06,8,0.4097117794486215,Hard
zip,1,7.41e-06,3,0.6428571428571429,Hard
zebedee,3,1.38e-07,7,0.4722222222222222,Hard
zechariah,3,3.47e-07,9,0.43441176470588233,Hard
zimbabwe,3,5.37e-06,8,0.35714285714285715,Hard
zion,1,2.88e-06,4,0.39757675438596485,Hard
abatement,4,5.37e-07,9,0.4861111111111111,Hard
abbreviation,4,1.38e-06,12,0.375,Hard
abbreviations,4,1.1e-06,13,0.3125,Medium
aberrations,4,4.27e-07,11,0.5227272727272727,Hard
abilities,4,1.62e-05,9,0.1875,Easy
ability,4,9.12e-05,7,0.20529149159663865,Easy
abnormalities,5,2.04e-06,13,0.2414880952380952,Easy
abomination,5,1.35e-06,11,0.2894736842105263,Medium
abominations,5,3.72e-07,12,0.41036033978808917,Hard
absence,3,2.19e-05,7,0.2423815359477124,Easy
abuses,3,4.9e-06,6,0.2958333333333333,Medium
acacia,3,1.02e-06,6,0.3770918878915202,Hard
access,2,0.000112,6,0.20925925925925923,Easy
accessibility,6,3.24e-06,13,0.24642857142857139,Medium
accidents,3,1.45e-05,9,0.22624434389140263,Easy
accordance,4,1.35e-05,10,0.36842105263157887,Hard
account,2,0.000162,7,0.22879901960784307,Easy
accountability,6,8.13e-06,14,0.32419590643274854,Medium
accumulation,5,3.89e-06,12,0.24781991744066045,Medium
accusers,3,7.24e-07,8,0.2736111111111111,Medium
acetate,4,1.41e-06,7,0.5948275862068966,Hard
acid,2,2.82e-05,4,0.2626488095238095,Medium
acids,2,7.08e-06,5,0.24296536796536797,Easy
acquaintances,5,2.51e-06,13,0.328125,Medium
acquisition,4,1.82e-05,11,0.375,Hard
action,2,0.000178,6,0.19437439083820662,Easy
activation,4,6.76e-06,10,0.25474537037037037,Medium
activator,4,6.03e-07,9,0.3695302736479207,Hard
activities,4,8.13e-05,10,0.28648190045248867,Medium
activity,4,7.24e-05,8,0.21047794117647056,Easy
acts,1,4.37e-05,4,0.20086834733893552,Easy
adders,2,1.2e-07,6,0.5131578947368421,Hard
addition,3,0.000102,8,0.21779448621553882,Easy
additives,4,1.78e-06,9,0.3327837195484254,Medium
adheres,3,7.24e-07,7,0.3472222222222222,Medium
adhesion,3,1.38e-06,8,0.3983333333333333,Hard
adipose,4,5.75e-07,7,0.5907142857142857,Hard
administration,5,8.51e-05,14,0.2797979797979798,Medium
admissibility,6,1.82e-07,13,0.4769345238095238,Hard
adoption,3,1.48e-05,8,0.2142857142857143,Easy
adorning,3,3.55e-07,8,0.3552631578947368,Hard
adult,2,6.31e-05,5,0.25,Medium
adulterers,4,1.91e-07,10,0.5,Hard
adultery,4,2.57e-06,8,0.2321428571428571,Easy
adulthood,3,3.98e-06,9,0.3055555555555556,Medium
advantage,4,6.03e-05,9,0.2415054179566563,Easy
adversaries,4,1.62e-06,11,0.32413194444444443,Medium
adversity,4,2.4e-06,9,0.34375,Medium
aerospace,4,5.37e-06,9,0.4333333333333333,Hard
affection,3,8.32e-06,9,0.3076923076923077,Medium
affinity,4,4.07e-06,8,0.4130434782608695,Hard
affront,2,7.76e-07,7,0.375,Hard
afield,2,1e-06,6,0.4722222222222222,Hard
afternoon,3,5.25e-05,9,0.1428571428571428,Easy
age,2,0.000209,3,0.1513533834586466,Easy
agencies,3,3.47e-05,8,0.265625,Medium
agent,2,6.46e-05,5,0.25,Medium
agents,2,3.55e-05,6,0.32916666666666666,Medium
aggregation,4,1.78e-06,11,0.46117647058823524,Hard
aid,1,5.62e-05,3,0.21428571428571425,Easy
aim,1,3.24e-05,3,0.1635416666666666,Easy
air,1,0.000234,3,0.1323529411764705,Easy
aircraft,2,4.37e-05,8,0.1607142857142857,Easy
albinos,3,1.23e-07,7,0.43869047619047613,Hard
albumin,3,3.8e-07,7,0.65,Hard
alertness,3,5.62e-07,9,0.2613636363636363,Medium
alkaline,4,1.78e-06,8,0.3055555555555556,Medium
allele,3,8.13e-07,6,0.575,Hard
alleles,3,6.61e-07,7,0.587156862745098,Hard
allocation,4,5.5e-06,10,0.34305555555555556,Medium
allowances,4,2.29e-06,10,0.2700892857142857,Medium
alpha,2,1.78e-05,5,0.3478260869565217,Hard
alteration,4,2.14e-06,10,0.4473684210526315,Hard
alternative,5,5.13e-05,11,0.1470588235294117,Easy
alveoli,3,1.62e-07,7,0.518640350877193,Hard
ambiguities,4,3.8e-07,11,0.46875,Hard
ambush,2,3.55e-06,6,0.1388888888888889,Easy
ambushes,3,3.47e-07,8,0.2,Easy
amino,3,5.25e-06,5,0.43085065605189443,Hard
amount,2,0.000135,6,0.21965113491048593,Easy
amounts,2,2.57e-05,7,0.13316993464052282,Easy
amphibians,3,8.71e-07,10,0.3928571428571429,Hard
amplification,5,1.32e-06,13,0.4172794117647059,Hard
analog,3,5.37e-06,6,0.4583333333333333,Hard
analogue,4,1.91e-06,8,0.421875,Hard
analyses,4,6.17e-06,8,0.3203835380305968,Medium
anemone,4,3.63e-07,7,0.484375,Hard
angel,2,2.82e-05,5,0.1915384615384615,Easy
angels,2,1.82e-05,6,0.20616418764302055,Easy
anger,2,2.63e-05,5,0.13767251131221714,Easy
anguish,2,2.34e-06,7,0.2916666666666666,Medium
ankle,2,9.33e-06,5,0.125,Easy
anniversary,5,3.39e-05,11,0.1484375,Easy
announcement,4,2.04e-05,12,0.1805555555555555,Easy
anomalies,4,1.91e-06,9,0.42285575048732943,Hard
answer,2,0.000148,6,0.17310855263157895,Easy
answers,2,3.98e-05,7,0.2249999999999999,Easy
ant,1,7.24e-06,3,0.175,Easy
antagonist,4,2.09e-06,10,0.390625,Hard
antagonists,4,1.17e-06,11,0.4980844645550528,Hard
antibiotics,4,5.5e-06,11,0.296875,Medium
antibodies,4,3.63e-06,10,0.3238224637681159,Medium
antibody,4,2.88e-06,8,0.3688865546218487,Hard
antigen,3,1.62e-06,7,0.5069785637367075,Hard
anyone,3,0.00024,6,0.25955988455988455,Medium
anything,3,0.000355,8,0.28125,Medium
apex,2,5.13e-06,4,0.4,Hard
apostles,3,2.95e-06,8,0.3671875,Hard
apparatus,4,6.03e-06,9,0.3676470588235294,Hard
appearance,4,4.9e-05,10,0.1875,Easy
application,4,7.24e-05,11,0.26984126984126977,Medium
applications,4,4.37e-05,12,0.4333333333333333,Hard
appointment,3,3.09e-05,11,0.3055555555555556,Medium
approach,2,8.51e-05,8,0.20132873662285422,Easy
approaches,3,1.78e-05,10,0.203125,Easy
appropriations,4,2.29e-06,14,0.359375,Hard
arbitration,4,5.25e-06,11,0.5,Hard
architecture,5,2.63e-05,12,0.3026315789473685,Medium
area,2,0.000288,4,0.20056965093729795,Easy
areas,2,0.000141,5,0.1724439775910364,Easy
argument,3,4.37e-05,8,0.1578947368421052,Easy
arm,1,5.37e-05,3,0.34375,Medium
armor,2,9.33e-06,5,0.23201388888888888,Easy
arms,1,6.61e-05,4,0.25921052631578945,Medium
army,2,0.000115,4,0.18684210526315786,Easy
aroma,3,1.7e-06,5,0.3235294117647058,Medium
arrangement,4,1.78e-05,11,0.24095394736842105,Easy
arrangements,4,1.7e-05,12,0.2967592592592592,Medium
arrest,2,3.55e-05,6,0.31319444444444444,Medium
arrow,2,1.35e-05,5,0.1931818181818181,Easy
arrows,2,6.31e-06,6,0.1041666666666666,Easy
artery,3,4.47e-06,6,0.3055555555555556,Medium
arthritis,3,4.07e-06,9,0.3638888888888889,Hard
artifact,3,2.57e-06,8,0.3068181818181817,Medium
asbestos,3,3.47e-06,8,0.5333333333333333,Hard
aspect,2,2.57e-05,6,0.2419254658385093,Easy
assassination,5,6.61e-06,13,0.2421875,Easy
assault,2,2.75e-05,7,0.1944444444444444,Easy
assay,2,1.91e-06,5,0.5627077497665732,Hard
assemblies,3,3.02e-06,10,0.35238095238095235,Hard
assembly,3,4.07e-05,8,0.31218045112781956,Medium
assent,2,1.07e-06,6,0.3515625,Hard
assets,2,3.63e-05,6,0.25,Medium
assistance,4,3.89e-05,10,0.25892857142857145,Medium
association,4,0.000102,11,0.1428571428571428,Easy
assumptions,3,8.91e-06,11,0.3125,Medium
assurances,4,2.09e-06,10,0.3,Medium
astonishment,4,7.24e-07,12,0.3353009259259259,Medium
asylum,3,9.77e-06,6,0.3965686274509804,Hard
atelectasis,5,4.47e-08,11,0.7333333333333333,Hard
atonement,4,1.23e-06,9,0.4009176587301587,Hard
attack,2,0.000123,6,0.2166666666666666,Easy
attainment,3,1.41e-06,10,0.4499999999999999,Hard
attempt,2,7.08e-05,7,0.252995642701525,Medium
attempts,2,3.16e-05,8,0.1569113756613756,Easy
attention,3,0.000129,9,0.2503759398496241,Medium
